V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,uid,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q3,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q8,Q9,Q10,Q11,Q57_4,Q59,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q14,Q17_1,Q17_2,Q17_3,Q17_4,Q18,Q15_1,Q15_2,Q15_3,Q15_4,Q16,Q77,Q78_1,Q78_2,Q78_3,Q78_4,Q79,Q80_1,Q80_2,Q80_3,Q80_4,Q81,Q82_1,Q82_2,Q82_3,Q82_4,Q83,Q19,Q20_1,Q20_2,Q20_3,Q20_4,Q21,Q24_1,Q24_2,Q24_3,Q24_4,Q25,Q26_1,Q26_2,Q26_3,Q26_4,Q27,Q28_1,Q28_2,Q28_3,Q28_4,Q29,Q33,Q34_4,Q35_4,Q36_4,Q37_4,Q30,Q31_4,Q32_4,Q38,Q39_4,Q40_4,Q41_1,Q41_2,Q41_3,Q41_4,Q42,Q43,Q44,Q72,Q73,Q68_1,Q68_2,Q68_3,Q68_4,Q68_5,Q68_6,Q68_7,Q68_8,Q68_9,Q68_10,Q45_1,Q45_2,Q45_3,Q45_4,Q46,Q47_1,Q47_2,Q47_3,Q47_4,Q47_5,Q47_6,Q47_7,Q47_8,Q47_9,Q48,Q49_1,Q49_2,Q49_3,Q49_4,Q49_5,Q49_6,Q49_7,Q49_8,Q49_9,Q50,Q51_1,Q51_2,Q51_3,Q51_4,Q51_5,Q51_6,Q51_7,Q52_1,Q52_2,Q52_3,Q52_4,Q76,Q53_1,Q54,Q55,Q56,Q58,Q62,Q63,Q60,Q84_1,Q84_2,Q84_3,Q84_4,Q85,Q61_1,Q70_1,DO-BR-FL_4,DO-BL-Publicsectorattitudes,DO-BL-Specificfacilities(OUTCOME),LocationLatitude,LocationLongitude,LocationAccuracy
R_6neByXb7phz0md3,Default Response Set,Anonymous,,,62.219.163.254,0,14/12/2015 17:11,14/12/2015 17:13,1,5335270,1,8.483,12.002,12.652,4,1,5,5,6,1.869,11.755,12.75,5,1,4,4,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.463,1.463,2.371,1,4,1.797,1.797,2.519,1,5,1.79,2.766,3.847,2,1,2.411,17.817,18.498,11,1,,7,9,7,8,1,9,7,1,8,7,3.186,9.266,13.118,5,2,2,1,1,1,,,,,,,,,,,1.429,8.509,9.581,3,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,2.9,16.161,19.613,9,1,24,4,3,2,הוד השרון,2,1,תשתיות,2.089,5.636,6.268,3,1,9,6,Figures (TREATMENT),Q7|Q8|Q10|Q9|Q11|Q57|Q59,Q28|Q29|Q33|Q35|Q34|Q36|Q37|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_3MKe0B068ZaEcAa,Default Response Set,Anonymous,,,193.43.246.250,0,14/12/2015 17:07,14/12/2015 17:13,1,5334986,1,10.405,27.66,31.309,5,1,4,5,6,13.415,66.785,67.808,12,1,4,4,4,5,5,1,2.473,3.137,5.018,2,5,1.409,1.409,2.325,1,5,6.115,6.115,7.423,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.796,145.941,147.028,15,1,,6,7,6,5,1,8,9,1,9,10,4.576,16.455,19.833,5,3,3,2,1,1,,,,,,,,,,,2.369,11.346,15.254,5,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,3.747,3.747,6.768,1,1,32,8,4,1,הוד השרון,1,1,עד כמה שירותי התשתיות בארץ מספקים את האזרחים,7.999,14.201,15.232,2,1,10,7,Figures (CONTROL),Q7|Q8|Q11|Q10|Q9|Q57|Q59,Q28|Q29|Q33|Q36|Q37|Q34|Q35|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_2txtIsGmCfG90jo,Default Response Set,Anonymous,,,85.250.210.81,0,14/12/2015 17:10,14/12/2015 17:14,1,5335222,1,14.806,18.798,19.687,3,1,4,4,3,5.037,5.037,7.077,1,1,2,2,2,2,1,1,1.775,1.775,3.358,1,2,4.248,4.248,5.782,1,3,5.648,5.648,7.126,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92,42.237,44.727,10,1,,4,5,5,4,1,7,7,1,6,6,2.922,13.906,24.027,5,2,1,2,1,1,,,,,,,,,,,2.282,11.218,12.666,6,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,5.214,33.669,46.687,9,1,60,5,4,1,הרצליה,1,1,איכות שירותי תשתית,10.394,14.737,15.768,2,1,8,1,Figures (CONTROL),Q7|Q8|Q11|Q9|Q10|Q57|Q59,Q28|Q29|Q33|Q36|Q37|Q35|Q34|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_3GuBdomPRTkvrX6,Default Response Set,Anonymous,,,80.178.204.10,0,14/12/2015 17:07,14/12/2015 17:15,1,5335058,1,20.78,47.061,48.208,3,1,3,4,3,7.844,49.874,51.29,5,1,2,2,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.927,3.927,6.798,1,2,4.331,4.331,6.272,1,3,2.571,2.571,3.754,1,1,5.494,8.237,11.812,3,1,,6,7,6,6,1,7,7,1,7,7,9.848,45.823,65.17,5,3,4,2,2,2,,,,,,,,,,,4.929,31.983,33.127,6,1,,,,,,,,,1,2,,,1,,,,,,,1,,,,,,,1,7.344,102.13,118.612,10,1,42,8,4,1,כפר סבא,1,1,מידת שביעות רצון בנושא בתשתיות,12.66,25.541,26.49,3,1,8,1,Figures (TREATMENT),Q7|Q8|Q11|Q9|Q10|Q57|Q59,Q28|Q29|Q33|Q35|Q34|Q37|Q36|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_2v9cJWTct68cUxI,Default Response Set,Anonymous,,,87.69.189.253,0,14/12/2015 17:14,14/12/2015 17:16,1,5335016,1,16.793,19.757,20.587,3,1,3,4,5,2.463,11.626,12.6,5,1,4,4,5,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.636,1.636,2.577,1,2,1.881,1.881,3.289,1,3,1.884,1.884,2.934,1,1,3.514,21.244,22.661,8,1,,6,6,6,6,1,3,4,1,7,7,2.179,8.777,13.838,5,2,1,1,1,1,,,,,,,,,,,2.992,7.026,8.908,3,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1.911,1.911,3.163,1,1,40,8,5,1,הוד השרון,1,1,"מידת ההכרות של הנשאלים עם חברות תשתית בישראל (מים, גז, חשמל וכו') ומידת שביעות רצונם מהשירותים המסופקים על ידי חברות אלו",3.556,5.354,6.382,2,1,9,2,Figures (TREATMENT),Q7|Q8|Q9|Q11|Q10|Q57|Q59,Q28|Q29|Q33|Q34|Q36|Q35|Q37|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_12nHtU6ns5vKSJN,Default Response Set,Anonymous,,,89.139.169.188,0,14/12/2015 17:17,14/12/2015 17:19,1,5334963,1,3.762,8.745,10.053,4,1,5,4,4,2.948,11.225,12.323,5,1,5,5,5,6,2,1,1.903,1.903,2.785,1,1,1.983,1.983,2.817,1,5,0.691,0.691,1.517,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.335,27.006,28.473,11,1,,6,6,6,6,1,9,9,1,8,8,3.663,16.135,16.735,6,2,4,1,1,1,1,,,,,,,,,,2.738,11.967,13.057,7,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,4.979,20.43,21.906,7,1,30,7,3,2,רעננה,1,1,,4.668,6.012,6.781,2,1,2,2,Figures (CONTROL),Q7|Q8|Q9|Q11|Q10|Q57|Q59,Q28|Q29|Q33|Q34|Q35|Q36|Q37|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_1IEE1wOdW8b0ntA,Default Response Set,Anonymous,,,37.19.115.4,8,14/12/2015 17:08,14/12/2015 17:17,1,5335147,1,3.812,16.863,18.302,4,1,1,4,5,3.198,44.826,47.169,9,1,3,3,3,6,1,,,,,,,,,,,,,,,,,1,5.129,6.828,7.905,2,5,2.253,2.253,3.152,1,5,3.221,3.221,4.208,1,5,,,,,,,,,,,,,,,,,6.663,15.689,16.563,5,1,,3,2,1,1,1,4,1,1,7,1,4.506,78.307,124.258,7,3,5,3,1,1,,1,,1,,,,,,,135.763,208.928,209.812,6,1,,,,,,,,,1,2,,,1,,,,,,,1,,,,,,,1,11.551,53.483,55.062,7,1,51,8,4,1,רעננה,1,1,,6.968,19.799,20.696,3,1,7,2,Figures (PLACEBO),Q7|Q8|Q11|Q9|Q10|Q57|Q59,Q28|Q29|Q33|Q34|Q35|Q36|Q37|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_1OrfsU3Xwy7vL8J,Default Response Set,Anonymous,,,77.126.220.72,0,14/12/2015 17:10,14/12/2015 17:20,1,5331284,1,27.864,47.067,49.534,3,1,5,4,4,25.016,92.839,94.533,7,1,4,4,1,2,1,,,,,,,,,,,,,,,,,1,8.904,8.904,14.438,1,2,11.937,11.937,13.21,1,5,8.415,8.415,9.926,1,5,,,,,,,,,,,,,,,,,25.272,91.67,93.248,8,1,,4,7,5,1,1,6,7,1,9,9,10.956,75.985,77.671,6,3,3,3,1,1,,,,,,,1,,,,9.924,54.297,55.719,6,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,17.473,87.302,92.356,7,1,53,7,3,2,רעננה,2,2,,20.29,35.649,36.775,3,1,6,5,Figures (PLACEBO),Q7|Q8|Q10|Q11|Q9|Q57|Q59,Q28|Q29|Q33|Q36|Q35|Q37|Q34|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_1CEGXxOCADn15C3,Default Response Set,Anonymous,,,84.109.19.13,0,14/12/2015 17:18,14/12/2015 17:21,1,5334786,1,1.109,4.445,6.862,4,1,5,5,5,0.623,23.872,25.165,33,1,4,3,3,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.733,1.733,3.592,1,1,1.818,3.337,4.191,2,3,1.403,1.403,2.833,1,1,5.9,23.252,27.093,9,1,,3,4,4,5,1,6,6,1,5,5,0.929,14.786,17.177,11,3,4,3,1,3,,,,,,,,,,,0.752,19.026,20.113,30,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,1.485,16.494,18.168,9,1,24,4,3,2,הרצליה,1,1,,1.26,43.604,43.85,32,1,8,6,Figures (TREATMENT),Q7|Q8|Q9|Q10|Q11|Q57|Q59,Q28|Q29|Q33|Q37|Q34|Q36|Q35|Q30|Q31|Q32|Q38|Q39|Q40,32.15080261,34.88830566,-1
R_3hlRVRVfnH5sf3G,Default Response Set,Anonymous,,,85.250.183.22,0,14/12/2015 17:19,14/12/2015 17:24,1,5334725,1,8.519,14.723,15.501,5,1,3,2,2,5.528,22.83,23.704,9,1,2,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.101,7.585,8.121,3,1,5.925,5.925,7.649,1,3,1.828,1.828,2.903,1,1,3.896,8.66,9.427,3,1,,5,3,4,4,1,6,4,1,6,4,3.189,27.174,46.709,6,2,2,1,1,1,,,,,,,,,,,3.197,17.62,18.615,8,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,4.97,55.029,55.592,11,1,18,4,4,2,הוד השרון,1,1,עמדתם של אזרחי המדינה בנוגע לשירותי התשתיות אותם הם מקבלים.,5.313,12.487,13.394,4,1,10,1,Figures (TREATMENT),Q7|Q8|Q10|Q11|Q9|Q57|Q59,Q28|Q29|Q33|Q37|Q35|Q34|Q36|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_277JfOT9IIb7IB0,Default Response Set,Anonymous,,,109.64.114.19,0,14/12/2015 17:17,14/12/2015 17:24,1,5335267,1,12.861,30.252,32.017,7,1,5,4,6,7.244,40.872,42.071,9,1,4,4,5,6,1,1,3.858,20.583,22.099,3,2,2.125,4.828,6.458,2,3,3.981,10.863,12.451,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.098,18.336,19.934,6,1,,5,6,5,5,1,7,8,1,7,,5.001,43.091,44.658,10,3,5,3,3,3,1,,,,,,,,,,4.736,24.39,25.576,9,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,4.773,77.409,116.288,13,1,24,6,4,2,הוד השרון,2,1,כמה אני מרוצה משירותים הציבוריים במדינה,21.249,31.81,33.349,4,1,7,5,Figures (CONTROL),Q7|Q8|Q11|Q9|Q10|Q57|Q59,Q28|Q29|Q33|Q35|Q34|Q37|Q36|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_2VKoregJtFRle5S,Default Response Set,Anonymous,,,85.64.86.231,0,14/12/2015 17:19,14/12/2015 17:25,1,5334759,1,7.858,32.29,33.997,5,1,5,5,6,36.326,64.958,65.844,6,1,5,6,5,6,5,,,,,,,,,,,,,,,,,1,3.837,11.251,12.589,4,2,1.976,1.976,2.724,1,5,4.76,4.76,6.037,1,3,,,,,,,,,,,,,,,,,8.083,61.489,63.835,11,1,,5,7,6,5,1,7,7,1,8,8,5.021,23.311,48.898,5,3,3,2,1,1,,,,,,,,,,,3.925,21.469,22.735,6,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,5.495,26.244,30.515,7,1,20,3,3,2,הוד השרון,1,1,,15.341,18.971,20.29,2,1,8,3,Figures (PLACEBO),Q7|Q8|Q9|Q10|Q11|Q57|Q59,Q28|Q29|Q33|Q36|Q35|Q34|Q37|Q30|Q31|Q32|Q38|Q39|Q40,32.15080261,34.88830566,-1
R_3sb47weZikbsdOH,Default Response Set,Anonymous,,,149.78.58.169,0,14/12/2015 17:20,14/12/2015 17:27,1,5335158,1,11.519,21.237,30.5,3,1,4,4,5,7.929,40.118,41.336,6,1,3,4,3,7,1,1,9.219,9.219,10.332,1,1,11.045,11.045,12.199,1,2,6.975,6.975,12.01,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.457,33.688,34.678,10,1,,7,7,7,7,1,5,4,1,5,7,5.034,60.538,82.122,6,3,4,3,1,1,,,,,,,,,,,5.714,28.61,29.862,6,2,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,31.933,63.956,109.35,8,1,51,4,1,1,כפר סבא,1,1,מידת אהדתינו לחברות התשתית ,6.734,14.955,16.985,3,1,9,6,Figures (CONTROL),Q7|Q8|Q10|Q11|Q9|Q57|Q59,Q28|Q29|Q33|Q34|Q36|Q35|Q37|Q30|Q31|Q32|Q38|Q39|Q40,32.18170166,34.93580627,-1
R_2yaug4hJSyHrWHr,Default Response Set,Anonymous,,,46.116.101.123,0,14/12/2015 17:13,14/12/2015 17:27,1,5330946,1,91.793,173.295,175.136,4,1,1,4,4,9.505,9.505,11.803,1,1,2,1,1,2,2,,,,,,,,,,,,,,,,,1,6.177,6.177,8.099,1,1,9.01,9.01,10.785,1,5,5.56,5.56,8.902,1,3,,,,,,,,,,,,,,,,,12.188,210.169,212.562,10,1,,3,3,5,4,1,3,4,1,5,5,21.002,55.219,82.775,6,2,2,2,1,1,,,,,,,,,,,8.59,80.091,84.159,3,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,2.928,72.828,79.266,11,1,31,7,1,2,כפר סבא,2,1,רמת שביעות רצון מהשירותים לעומת סטטוס כלכלי,34.248,49.015,50.503,5,1,8,1,Figures (PLACEBO),Q7|Q8|Q9|Q10|Q11|Q57|Q59,Q28|Q29|Q33|Q36|Q35|Q34|Q37|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_12kZ9Afxw1zX0jm,Default Response Set,Anonymous,,,46.117.159.131,0,14/12/2015 17:22,14/12/2015 17:28,1,5329917,1,14.383,36.583,38.794,7,1,2,6,4,5.436,30.348,31.761,7,1,3,3,3,4,2,1,2.553,2.553,4.005,1,2,5.989,5.989,7.501,1,3,11.16,11.16,13.328,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.582,62.55,64.189,22,1,,5,8,8,8,1,5,4,1,8,7,5.591,54.454,65.227,10,1,6,1,2,1,,,,,,,,,,,4.793,25.061,26.33,6,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,5.088,42.068,60.732,10,1,22,6,3,2,בית חנניה,1,1,שביעות רצון הציבור מהתשתיות במדינה,4.034,10.235,11.227,2,1,9,3,Figures (CONTROL),Q7|Q8|Q10|Q11|Q9|Q57|Q59,Q28|Q29|Q33|Q35|Q36|Q34|Q37|Q30|Q31|Q32|Q38|Q39|Q40,31.5,34.75,-1
R_2tu0HLZuUxqtRCr,Default Response Set,Anonymous,,,77.125.12.226,0,14/12/2015 17:22,14/12/2015 17:30,1,5330780,1,8.547,46.953,48.452,5,1,6,5,6,4.581,102.49,102.837,7,1,3,4,4,3,2,,,,,,,,,,,,,,,,,1,5.354,5.354,9.233,1,1,3.854,3.854,5.101,1,3,3.488,3.776,4.59,2,5,,,,,,,,,,,,,,,,,58.603,85.681,86.587,13,1,,5,8,5,7,1,9,9,1,9,9,5.611,44.915,47.101,6,3,1,3,1,1,,,,,,,,,,,48.739,63.571,65.837,4,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,5.266,35.215,36.522,11,1,26,4,1,2,באר שבע,2,1,,87.621,92.381,93.697,2,1,10,5,Figures (PLACEBO),Q7|Q8|Q10|Q11|Q9|Q57|Q59,Q28|Q29|Q33|Q35|Q37|Q34|Q36|Q30|Q31|Q32|Q38|Q39|Q40,31.5,34.75,-1
R_33fBAvXeezeHCBW,Default Response Set,Anonymous,,,109.226.26.135,0,14/12/2015 17:25,14/12/2015 17:34,1,5335691,1,263.229,283.503,284.33,5,1,3,3,5,5.104,23.71,24.477,12,1,3,2,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.838,2.838,3.671,1,2,17.422,17.422,18.956,1,3,6.965,6.965,8.965,1,1,5.162,49.704,50.928,17,1,,6,6,7,7,1,4,5,1,7,8,5.856,23.592,27.386,5,3,1,2,1,1,,,,,,,,,,,35.794,59.88,60.906,8,1,,,,,,,,,,1,,,,,,,,,,2,,,,1,,,,3.67,29.1,46.411,15,1,45,7,1,2,הרצליה,2,1,תשתיות בארץ,12.837,18.318,18.852,4,1,8,3,Figures (TREATMENT),Q7|Q8|Q10|Q11|Q9|Q57|Q59,Q28|Q29|Q33|Q35|Q37|Q34|Q36|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_1gBWI0jahCq1O3V,Default Response Set,Anonymous,,,84.228.245.87,0,14/12/2015 17:30,14/12/2015 17:35,1,5331272,1,4.817,14.069,15.598,4,1,3,3,5,4.674,20.314,21.445,5,1,4,4,4,5,2,,,,,,,,,,,,,,,,,1,3.034,3.034,4.971,1,2,5.775,5.775,6.947,1,3,4.533,4.533,7.254,1,3,,,,,,,,,,,,,,,,,5.693,35.114,36.263,11,1,,6,7,7,7,1,5,5,1,6,,2.91,41.016,43.77,7,3,4,3,1,1,,,1,,,,,,,,3.675,23.006,24.112,6,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,8.633,43.558,95.496,8,1,49,4,3,1,רמת השרון,2,1,דעתי על נושאי שירות ציבורי,6,14.419,15.274,5,1,8,5,Figures (PLACEBO),Q7|Q8|Q9|Q11|Q10|Q57|Q59,Q28|Q29|Q33|Q36|Q34|Q37|Q35|Q30|Q31|Q32|Q38|Q39|Q40,31.96420288,34.80439758,-1
R_2QLPmP8SmP1ktzj,Default Response Set,Anonymous,,,79.182.39.57,0,14/12/2015 17:29,14/12/2015 17:35,1,5335388,1,18.455,29.198,30.823,3,1,2,2,4,5.046,33.26,34.475,5,1,2,2,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.496,4.496,5.787,1,1,6.485,6.485,7.439,1,5,2.215,2.215,4.816,1,1,8.71,48.265,49.894,8,1,,2,3,3,3,1,4,3,1,8,8,6.091,28.499,45.368,5,3,3,3,1,1,,,,,,,,,,,5.352,21.944,22.893,7,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,5.712,45.13,71.86,8,1,29,8,3,2,כפר סבא,3,1,שביעות הרצון משירותים ממשלתיים ,14.344,27.331,30.131,2,1,8,7,Figures (TREATMENT),Q7|Q8|Q9|Q10|Q11|Q57|Q59,Q28|Q29|Q33|Q36|Q37|Q34|Q35|Q30|Q31|Q32|Q38|Q39|Q40,31.5,34.75,-1
R_3HhLQfaAmmC1qg8,Default Response Set,Anonymous,,,132.66.201.201,0,14/12/2015 17:34,14/12/2015 17:36,1,5334771,1,6.644,9.257,10.057,4,1,1,1,1,0.527,19.728,20.393,6,1,1,1,1,0,4,,,,,,,,,,,,,,,,,1,1.897,7.561,9.134,2,3,3.379,3.379,8.381,1,3,5.199,5.199,6.285,1,4,,,,,,,,,,,,,,,,,1.629,13.173,13.674,8,1,,1,1,1,1,1,1,1,1,1,2,1.124,5.109,6.07,7,3,6,3,1,3,,,,,,,,,,1,0.771,7.445,8.234,10,2,,,,1,,,,,,1,,,,,,,,,1,1,,1,,,,,,1.052,1.052,2.63,1,1,23,3,5,1,gfdgd,1,2,,1.544,2.471,3.3,2,1,1,1,Figures (PLACEBO),Q7|Q8|Q9|Q10|Q11|Q57|Q59,Q28|Q29|Q33|Q34|Q37|Q35|Q36|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_1rcPQuhULD2JO3R,Default Response Set,Anonymous,,,37.46.39.74,0,14/12/2015 17:32,14/12/2015 17:37,1,5330164,1,2.497,23.751,25.058,6,1,4,5,5,2.695,27.61,28.689,14,1,4,4,4,6,5,1,2.872,3.791,5.545,2,2,1.633,5.87,6.76,2,5,2.039,4.419,5.808,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.227,38.131,39.103,14,1,,2,4,5,5,1,7,7,1,7,7,6.965,27.115,40.252,10,2,1,1,1,1,,,,,,,,,,,3.359,26.37,27.271,14,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,4.404,24.9,37.895,13,1,34,7,2,1,הרצליה,1,1,דעתי על השירותים הציבוריים במדינה,2.36,2.36,3.06,1,1,8,1,Figures (CONTROL),Q7|Q8|Q10|Q9|Q11|Q57|Q59,Q28|Q29|Q33|Q37|Q36|Q34|Q35|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_3GD6l8EAeKY1lM4,Default Response Set,Anonymous,,,82.102.169.113,0,14/12/2015 17:30,14/12/2015 17:40,1,5330327,1,11.724,27.578,28.674,7,1,4,3,5,7.363,30.11,31.47,9,1,4,4,5,7,2,1,5.203,7.299,8.618,2,2,4.97,11.109,13.794,2,3,5.57,8.369,11.537,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.956,70.08,71.451,21,1,,4,7,5,6,1,6,5,1,4,,4.33,48.419,50.102,13,1,6,3,1,1,,,,,,1,1,,,,3.645,23.517,24.468,9,1,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,1,6.496,52.063,53.414,13,1,36,8,4,1,הרצליה,1,1,עמדות ביחס לתשתיות בישראל,151.458,168.492,169.528,7,1,8,6,Figures (CONTROL),Q7|Q8|Q9|Q10|Q11|Q57|Q59,Q28|Q29|Q33|Q35|Q34|Q37|Q36|Q30|Q31|Q32|Q38|Q39|Q40,31.5,34.75,-1
R_28UlIqkwPRkk3jz,Default Response Set,Anonymous,,,46.121.65.46,0,14/12/2015 17:34,14/12/2015 17:42,1,5335208,1,9.631,25.255,27.168,5,1,6,5,6,10.169,47.375,48.78,9,1,5,5,5,7,5,1,5.878,10.685,11.763,3,2,5.904,9.292,10.31,3,2,3.568,5.128,7.114,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.848,65.554,66.805,17,1,,6,7,6,5,1,8,8,1,7,8,6.752,77.624,78.542,12,2,2,3,2,2,,,,,,1,,,,,9.453,42.637,44.183,10,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,4.727,120.134,121.221,15,1,64,7,1,1,כפר סבא,1,2,רמת השירותים שנותנים הגופים הרלוונטים לתושבים בישראל,16.65,25.313,27.521,3,1,6,2,Figures (CONTROL),Q7|Q8|Q9|Q11|Q10|Q57|Q59,Q28|Q29|Q33|Q36|Q37|Q34|Q35|Q30|Q31|Q32|Q38|Q39|Q40,32.15080261,34.88830566,-1
R_ZyMKhy7qwbOh10l,Default Response Set,Anonymous,,,212.199.196.254,0,14/12/2015 17:39,14/12/2015 17:42,1,5335082,1,7.458,16.052,17.026,4,1,4,4,4,2.146,14.911,16.236,5,1,3,3,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.715,8.279,9.772,2,2,4.185,4.185,6.615,1,2,3.649,3.649,5.118,1,1,4.837,28.188,29.073,9,1,,4,5,4,4,1,5,5,1,5,5,5.108,16.789,17.422,6,1,6,1,1,1,,,1,,,,,,,,3.237,19.783,20.783,6,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,2.205,26.043,35.578,8,1,43,7,4,2,הרצליה,1,2,שביעות רצון מתשתיות,9.861,16.442,18.198,2,1,7,5,Figures (TREATMENT),Q7|Q8|Q11|Q9|Q10|Q57|Q59,Q28|Q29|Q33|Q35|Q34|Q36|Q37|Q30|Q31|Q32|Q38|Q39|Q40,31.5,34.75,-1
R_3ir3GPeq90Qfkj2,Default Response Set,Anonymous,,,46.121.64.34,0,14/12/2015 17:18,14/12/2015 17:44,1,5330955,1,11.06,20.072,24.196,3,1,3,2,5,5.844,50.139,51.007,10,1,1,2,1,5,2,,,,,,,,,,,,,,,,,1,14.216,14.216,16.104,1,1,6.705,6.705,8.997,1,3,2.211,2.211,7.192,1,3,,,,,,,,,,,,,,,,,7.489,46.326,48.686,10,1,,3,3,3,2,1,3,2,1,2,6,42.591,761.549,1230.381,6,2,1,1,1,1,,,,,,,,,,,6.102,63.318,64.427,6,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,4.03,29.047,36.013,8,1,32,5,4,1,הוד השרון,2,1,עירנות,1.872,3.304,4.096,2,1,9,1,Figures (PLACEBO),Q7|Q8|Q10|Q9|Q11|Q57|Q59,Q28|Q29|Q33|Q37|Q34|Q35|Q36|Q30|Q31|Q32|Q38|Q39|Q40,32.15080261,34.88830566,-1
R_2ebgr9a9uAVwQeI,Default Response Set,Anonymous,,,46.116.219.99,0,14/12/2015 17:31,14/12/2015 17:44,1,5330293,1,21.695,37.364,46.522,4,1,3,4,4,5.996,134.764,136.981,31,1,3,3,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11.624,33.104,35.744,4,1,3.138,14.37,15.873,4,5,3.512,5.279,6.73,2,1,5.471,11.186,12.585,9,1,,4,5,5,5,1,4,4,1,6,6,11.054,71.669,95.144,42,3,1,3,2,1,,,,,,,,,,,5.043,81.838,83.442,58,2,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,4.843,123.971,125.564,51,1,42,7,5,1,רמת השרון,1,1,שביעות רצון מהתשתיות במדינת ישראל ומרמת השירות שהחברות מספקות לאזרח.,8.123,26.887,28.974,9,1,9,4,Figures (TREATMENT),Q7|Q8|Q10|Q11|Q9|Q57|Q59,Q28|Q29|Q33|Q34|Q35|Q36|Q37|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
